日期,阅读次数,阅读人数,分享次数,分享人数,阅读原文次数,阅读原文人数,收藏次数,收藏人数,群发篇数
2020-01-01,144,118,2,2,0,0,1,1,0
2020-01-02,190,137,6,6,0,0,1,1,0
2020-01-03,144,119,4,4,0,0,0,0,0
2020-01-04,96,81,4,4,0,0,0,0,0
2020-01-05,136,114,6,6,0,0,0,0,0
2020-01-06,116,78,2,2,0,0,0,0,0
2020-01-07,84,74,2,2,0,0,0,0,0
2020-01-08,86,82,6,6,0,0,0,0,0
2020-01-09,128,113,2,2,0,0,0,0,0
2020-01-10,12008,9418,794,601,60,47,19,19,1
2020-01-11,1238,971,70,62,9,7,3,3,0
2020-01-12,538,467,30,26,2,1,2,2,0
2020-01-13,320,232,28,20,4,3,0,0,0
2020-01-14,488,363,50,36,7,3,1,1,0
2020-01-15,186,118,8,6,1,1,0,0,0
2020-01-16,592,484,16,16,5,4,1,1,0
2020-01-17,214,165,18,16,1,1,3,2,0
2020-01-18,128,96,10,8,1,1,1,1,0
2020-01-19,94,78,2,2,1,1,0,0,0
2020-01-20,80,48,8,6,0,0,0,0,0
2020-01-21,42,40,2,2,1,1,0,0,0
2020-01-22,34,30,0,0,0,0,0,0,0
2020-01-23,24,23,0,0,0,0,0,0,0
2020-01-24,50,36,2,2,1,1,0,0,0
2020-01-25,38,33,2,2,0,0,1,1,0
2020-01-26,32,24,2,2,0,0,0,0,0
2020-01-27,46,34,2,2,0,0,0,0,0
2020-01-28,42,30,0,0,0,0,0,0,0
2020-01-29,46,32,2,2,2,1,1,1,0
2020-01-30,36,28,2,2,1,1,1,1,0
2020-01-31,68,42,8,6,2,2,0,0,0
2020-02-01,62,42,0,0,2,1,0,0,0
2020-02-02,44,28,0,0,0,0,0,0,0
2020-02-03,78,62,2,2,2,1,0,0,0
2020-02-04,34,19,2,2,0,0,0,0,0
2020-02-05,46,27,2,2,0,0,0,0,0
2020-02-06,34,28,0,0,0,0,0,0,0
2020-02-07,28,24,0,0,0,0,0,0,0
2020-02-08,56,43,4,4,0,0,0,0,0
2020-02-09,100,52,4,4,2,1,0,0,0
2020-02-10,74,35,6,4,1,1,0,0,0
2020-02-11,26,24,0,0,0,0,0,0,0
2020-02-12,14,12,0,0,0,0,0,0,0
2020-02-13,18,14,0,0,0,0,0,0,0
2020-02-14,38,29,2,2,1,1,0,0,0
2020-02-15,16,12,0,0,1,1,0,0,0
2020-02-16,12,12,0,0,0,0,0,0,0
2020-02-17,20,16,0,0,0,0,0,0,0
2020-02-18,14,14,0,0,0,0,0,0,0
2020-02-19,10,10,0,0,0,0,0,0,0
2020-02-20,22,20,0,0,0,0,0,0,0
2020-02-21,24,14,0,0,8,1,0,0,0
2020-02-22,26,23,2,2,0,0,0,0,0
2020-02-23,18,18,0,0,0,0,0,0,0
2020-02-24,60,34,2,2,1,1,0,0,0
2020-02-25,42,22,8,5,0,0,0,0,0
2020-02-26,28,22,0,0,0,0,0,0,0
2020-02-27,36,30,2,2,1,1,0,0,0
2020-02-28,20,16,0,0,3,1,0,0,0
2020-02-29,58,8,2,2,0,0,0,0,0
2020-03-01,30,12,0,0,0,0,0,0,0
2020-03-02,28,24,0,0,0,0,0,0,0
2020-03-03,12,10,0,0,0,0,0,0,0
2020-03-04,26,18,0,0,0,0,0,0,0
2020-03-05,20,18,0,0,1,1,0,0,0
2020-03-06,8,8,2,2,0,0,0,0,0
2020-03-07,22,18,0,0,0,0,0,0,0
2020-03-08,12,11,2,2,0,0,0,0,0
2020-03-09,30,25,4,2,0,0,0,0,0
2020-03-10,14,14,0,0,0,0,0,0,0
2020-03-11,32,29,0,0,0,0,0,0,0
2020-03-12,16,16,0,0,0,0,0,0,0
2020-03-13,64,56,2,2,0,0,0,0,0
2020-03-14,22,17,2,2,0,0,0,0,0
2020-03-15,16,14,0,0,0,0,0,0,0
2020-03-16,24,17,0,0,0,0,0,0,0
2020-03-17,58,27,2,2,1,1,1,1,0
2020-03-18,30,28,2,2,0,0,0,0,0
2020-03-19,8,8,0,0,0,0,0,0,0
2020-03-20,44,25,0,0,3,1,0,0,0
2020-03-21,38,22,4,4,3,1,0,0,0
2020-03-22,8,6,0,0,1,1,0,0,0
2020-03-23,18,16,0,0,1,1,0,0,0
2020-03-24,30,27,2,2,1,1,0,0,0
2020-03-25,4,4,0,0,0,0,0,0,0
2020-03-26,18,10,0,0,0,0,0,0,0
2020-03-27,8,8,0,0,0,0,0,0,0
2020-03-28,18,14,0,0,0,0,0,0,0
2020-03-29,8,5,2,2,1,1,0,0,0
2020-03-30,14,12,0,0,0,0,0,0,0
2020-04-01,36,29,4,4,4,1,0,0,0
2020-04-02,42,22,0,0,4,1,0,0,0
2020-04-03,10,10,0,0,0,0,0,0,0
2020-04-04,26,20,2,2,0,0,0,0,0
2020-04-05,14,14,0,0,2,1,0,0,0
2020-04-06,26,21,0,0,0,0,0,0,0
2020-04-07,4,4,0,0,0,0,0,0,0
2020-04-08,26,24,0,0,0,0,0,0,0
2020-04-09,8,8,0,0,0,0,0,0,0
